Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
DE,F4,0.0937504768371582,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,86.13150178364498,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293,79.8363242007293
DE,F4,0.09472012519836426,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,90.19333908386476,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,85.24397235690834,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,83.51635929272507,81.23902053058995,81.23902053058995,81.23902053058995,81.23902053058995
DE,F4,0.08776521682739258,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256,89.54792499311256
DE,F4,0.0967721939086914,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,87.83303379937195,75.86101970343736,75.86101970343736,75.86101970343736,75.86101970343736,75.86101970343736,75.86101970343736,75.86101970343736
DE,F4,0.0917201042175293,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.97863462224119,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537,89.52512555367537
DE,F4,0.08975934982299805,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,90.06873203417587,88.50724580408033,88.50724580408033,88.50724580408033,88.50724580408033,88.50724580408033,88.50724580408033,88.50724580408033,88.50724580408033
DE,F4,0.09432101249694824,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.74966725110248,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014,78.18529203823014
DE,F4,0.08477258682250977,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029,89.38353020783029
DE,F4,0.08756184577941895,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,90.81607400318018,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634,81.84288847687634
DE,F4,0.08774304389953613,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,89.9934475625399,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798,81.08751417806798
